user,timestamp,surah,verse
13901,1448098521,39,47
13901,1448105817,39,50
13901,1448106841,39,53
13901,1448110302,39,58
13901,1448111035,39,60
13901,1448114337,39,68
13901,1448121970,39,69
13901,1448125013,39,71
13901,1448125695,39,72
13901,1448126306,40,6
13901,1448127079,40,7
13901,1448128340,40,8
13901,1448129878,40,9
13901,1448129918,40,12
13901,1448130022,40,13
13901,1448132482,40,14
13901,1448164186,40,16
13901,1448172483,40,21
13901,1448172554,40,28
13901,1448175498,40,29
13901,1448177363,40,34
13901,1448180111,40,35
13901,1448180186,40,36
13901,1448187556,40,43
13901,1448188086,40,44
13901,1448188386,40,45
13901,1448199676,40,47
13901,1448200695,40,53
13901,1448202811,40,57
13901,1448205624,40,58
13901,1448206144,40,59
13901,1448211306,40,60
13901,1448211319,40,61
13901,1448243044,40,64
13901,1448252969,40,67
13901,1448254713,40,68
13901,1448255463,40,78
13901,1448278816,40,79
13901,1448278823,40,80
13901,1448280993,40,81
13901,1448281001,40,82
13901,1448283536,40,83
13901,1448301344,41,4
13901,1448301352,41,5
13901,1448305087,41,7
13901,1448334396,41,13
13901,1448334819,41,14
13901,1448334870,41,15
13901,1448336538,41,16
13901,1448341407,41,17
13901,1448352617,41,21
13901,1448353852,41,22
13901,1448354339,41,26
13901,1448354369,41,27
13901,1448356656,41,30
13901,1448357182,41,31
13901,1448357200,41,33
13901,1448357233,41,35
13904,1434810979,13,26
13907,1445597380,50,27
13907,1445598448,50,28
13907,1445599425,50,45
13907,1445622427,51,31
13907,1445687602,51,60
13907,1445879623,52,24
13907,1446030318,52,49
13907,1446281734,53,26
13907,1446720969,55,78
13911,1447826435,6,58
13911,1452354396,18,18
13911,1452771552,7,126
13911,1454674756,7,173
13930,1443438051,67,1
13964,1442513451,87,1
14000,1441807003,4,18
14000,1442410123,4,29
14000,1442844528,4,50
